wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
glean,1501.0,0.001501,gl/i/n,g/l/i/n/_/,_/g/l/e/a/n/_/_/
with,3095076.0,3.095076,w/I/D/,_/w/I/D/_/,_/_/w/i/t/h/_/_/
pull,103101.0,0.103101,p/U/l,_/p/U/l/_/,_/_/p/u/l/l/_/_/
rush,31132.0,0.031132,r/@/S/,_/r/^/S/_/,_/_/r/u/s/h/_/_/
tripe,145.0,0.000145,tr/aI/p,t/r/a/j/p/,_/t/r/i/p/e/_/_/
ruse,616.0,0.000616,r/u/z,_/r/u/z/_/,_/_/r/u/s/e/_/_/
pulp,2248.0,0.002248,p/@/lp,_/p/^/l/p/,_/_/p/u/l/p/_/_/
rust,2519.0,0.002519,r/@/st,_/r/^/s/t/,_/_/r/u/s/t/_/_/
creak,1709.0,0.001709,kr/i/k,k/r/i/k/_/,_/c/r/e/a/k/_/_/
cream,23073.0,0.023073,kr/i/m,k/r/i/m/_/,_/c/r/e/a/m/_/_/
thorn,1413.0,0.001413,/T/O/rn,_/T/a/r/n/,_/t/h/o/r/n/_/_/
norm,10627.0,0.010627,n/O/rm,_/n/a/r/m/,_/_/n/o/r/m/_/_/
sand,18693.0,0.018693,s/&/nd,_/s/@/n/d/,_/_/s/a/n/d/_/_/
sane,1863.0,0.001863,s/eI/n,_/s/e/j/n/,_/_/s/a/n/e/_/_/
small,212730.0,0.21273,sm/O/l,s/m/a/l/_/,_/s/m/a/l/l/_/_/
past,152042.0,0.152042,p/&/st,_/p/@/s/t/,_/_/p/a/s/t/_/_/
pass,107400.0,0.1074,p/&/s,_/p/@/s/_/,_/_/p/a/s/s/_/_/
clock,15036.0,0.015036,kl/A/k,k/l/a/k/_/,_/c/l/o/c/k/_/_/
corked,47.0,4.7e-05,k/O/rkt,_/k/a/r/k/,_/_/c/o/r/k/e/d/
full,92965.0,0.092965,f/U/l,_/f/U/l/_/,_/_/f/u/l/l/_/_/
hash,1138.0,0.001138,h/&/S/,_/h/@/S/_/,_/_/h/a/s/h/_/_/
hasp,39.0,3.9e-05,h/&/sp,_/h/@/s/p/,_/_/h/a/s/p/_/_/
suave,418.0,0.000418,sw/A/v,s/w/a/v/_/,_/_/s/u/a/v/e/_/
plink,123.0,0.000123,pl/I/N/k,p/l/I/G/k/,_/p/l/i/n/k/_/_/
morn,580.0,0.00058,m/O/rn,_/m/a/r/n/,_/_/m/o/r/n/_/_/
more,1081638.0,1.081638,m/oU/r,_/m/o/r/_/,_/_/m/o/r/e/_/_/
door,142467.0,0.142467,d/oU/r,_/d/o/r/_/,_/_/d/o/o/r/_/_/
doom,4951.0,0.004951,d/u/m,_/d/u/m/_/,_/_/d/o/o/m/_/_/
learn,127745.0,0.127745,l/@/rn,_/l/^/r/n/,_/_/l/e/a/r/n/_/
grope,1851.0,0.001851,gr/oU/p,g/r/o/p/_/,_/g/r/o/p/e/_/_/
sikh,713.0,0.000713,s/i/k,_/s/i/k/_/,_/_/s/i/k/h/_/_/
huge,49849.0,0.049849,h/j/u/dZ/,h/j/u/J/_/,_/_/h/u/g/e/_/_/
scots,209.0,0.000209,sk/A/ts,s/k/a/t/s/,_/s/c/o/t/s/_/_/
sauce,19448.0,0.019448,s/O/s,_/s/a/s/_/,_/_/s/a/u/c/e/_/
swipe,1798.0,0.001798,sw/aI/p,s/w/a/j/p/,_/s/w/i/p/e/_/_/
saint,7899.0,0.007899,s/eI/nt,_/s/e/j/n/,_/_/s/a/i/n/t/_/
waft,1454.0,0.001454,w/&/ft,_/w/@/f/t/,_/_/w/a/f/t/_/_/
blond,6832.0,0.006832,bl/A/nd,b/l/a/n/d/,_/b/l/o/n/d/_/_/
sell,78151.0,0.078151,s/E/l,_/s/E/l/_/,_/_/s/e/l/l/_/_/
self,18750.0,0.01875,s/E/lf,_/s/E/l/f/,_/_/s/e/l/f/_/_/
kraal,31.0,3.1e-05,kr/A/l,k/r/a/l/_/,_/k/r/a/a/l/_/_/
seize,10659.0,0.010659,s/i/z,_/s/i/z/_/,_/_/s/e/i/z/e/_/
barred,307.0,0.000307,b/A/rd,_/b/a/r/d/,_/_/b/a/r/r/e/d/
twill,172.0,0.000172,tw/I/l,t/w/I/l/_/,_/t/w/i/l/l/_/_/
thrive,5601.0,0.005601,/T/r/aI/v,T/r/a/j/v/,t/h/r/i/v/e/_/_/
lass,506.0,0.000506,l/&/s,_/l/@/s/_/,_/_/l/a/s/s/_/_/
last,366756.0,0.366756,l/&/st,_/l/@/s/t/,_/_/l/a/s/t/_/_/
