wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
baron,3312,7.36,0.19427098654347832,bAr/O/N,_/b/r/a/_/_/_/,_/_/b/a/r/o/n/_/
click,13600,30.22222222,0.31482214544554754,kl/I/k,_/k/l/I/k/_/_/,_/c/l/i/c/k/_/_/
stance,6657,14.79333333,0.2524692072419411,st/&/ns,_/s/t/@/n/s/_/,_/s/t/a/n/c/e/_/
stanch,151,0.33555555600000003,0.05,st/O/n/tS/,_/s/t/a/n/C/_/,_/s/t/a/n/c/h/_/
scythe,321,0.713333333,0.05,s/aI/D/,_/_/s/a/j/D/_/,_/s/c/y/t/h/e/_/
clout,2318,5.1511111110000005,0.1662001143555154,kl/AU/t,_/k/l/a/w/t/_/,_/c/l/o/u/t/_/_/
strapped,71,0.157777778,0.05,str/&/pt,s/t/r/@/p/t/_/,s/t/r/a/p/p/e/d/
vaunt,36,0.08,0.05,v/O/nt,_/_/v/a/n/t/_/,_/_/v/a/u/n/t/_/
prance,584,1.297777778,0.07611276152069221,pr/&/ns,_/p/r/@/n/s/_/,_/p/r/a/n/c/e/_/
wrasse,35,0.07777777799999999,0.05,r/&/s,_/_/r/@/s/_/_/,_/w/r/a/s/s/e/_/
pine,11920,26.48888889,0.3031713111591219,p/aI/n,_/_/p/a/j/n/_/,_/_/p/i/n/e/_/_/
mode,13848,30.77333333,0.31642293600438465,m/oU/d,_/_/m/o/d/_/_/,_/_/m/o/d/e/_/_/
chunk,6930,15.4,0.25591770369629535,/tS/@/N/k,_/_/C/^/G/k/_/,_/c/h/u/n/k/_/_/
wick,582,1.293333333,0.07593563073586931,w/I/k,_/_/w/I/k/_/_/,_/_/w/i/c/k/_/_/
cringe,1616,3.591111111,0.1394388954213945,kr/I/n/dZ/,_/k/r/I/n/J/_/,_/c/r/i/n/g/e/_/
route,21204,47.12,0.3543969127314629,r/u/t,_/_/r/u/t/_/_/,_/_/r/o/u/t/e/_/
ask,328655,730.3444444,0.6033528654657315,/&/sk,_/_/_/@/s/k/_/,_/_/_/a/s/k/_/_/
keep,271536,603.4133333,0.5859128487317276,k/i/p,_/_/k/i/p/_/_/,_/_/k/e/e/p/_/_/
keen,3728,8.284444444,0.20386642584220227,k/i/n,_/_/k/i/n/_/_/,_/_/k/e/e/n/_/_/
keel,852,1.893333333,0.09719770752862557,k/i/l,_/_/k/i/l/_/_/,_/_/k/e/e/l/_/_/
grow,117703,261.5622222,0.5096328720815025,gr/oU/,_/g/r/o/_/_/_/,_/g/r/o/w/_/_/_/
chintz,228,0.5066666670000001,0.05,/tS/I/nts,_/_/C/I/n/t/s/,_/c/h/i/n/t/z/_/
spurn,749,1.664444444,0.0896578450371212,sp/@/rn,_/s/p/^/r/n/_/,_/s/p/u/r/n/_/_/
beg,10381,23.06888889,0.29101605001693653,b/E/g,_/_/b/E/g/_/_/,_/_/b/e/g/_/_/_/
bee,7306,16.23555556,0.26046402645400624,b/i/,_/_/b/i/_/_/_/,_/_/b/e/e/_/_/_/
bey,43,0.095555556,0.05,b/eI/,_/_/b/e/j/_/_/,_/_/b/e/y/_/_/_/
spurt,1293,2.873333333,0.12388532945582013,sp/@/rt,_/s/p/^/r/t/_/,_/s/p/u/r/t/_/_/
bet,21345,47.43333333,0.35499070566596497,b/E/t,_/_/b/E/t/_/_/,_/_/b/e/t/_/_/_/
wreak,1329,2.953333333,0.12575567760008674,r/i/k,_/_/r/i/k/_/_/,_/w/r/e/a/k/_/_/
shy,8188,18.19555556,0.27031768196362227,/S/aI/,_/_/S/a/j/_/_/,_/s/h/y/_/_/_/_/
she,1719851,3821.891111,0.7546628461167254,/S/i/,_/_/S/i/_/_/_/,_/s/h/e/_/_/_/_/
preach,6229,13.84222222,0.24678670961205265,pr/i/tS/,_/p/r/i/C/_/_/,_/p/r/e/a/c/h/_/
lux,116,0.257777778,0.05,l/@/ks,_/_/l/^/k/s/_/,_/_/l/u/x/_/_/_/
thank,103851,230.78,0.498224367968446,/T/&/N/k,_/_/T/@/G/k/_/,_/t/h/a/n/k/_/_/
mail,18200,40.44444444,0.34073372284031017,m/eI/l,_/_/m/e/j/l/_/,_/_/m/a/i/l/_/_/
brunch,1451,3.224444444,0.13182395425669513,br/@/n/tS/,_/b/r/^/n/C/_/,_/b/r/u/n/c/h/_/
souse,26,0.057777778,0.05,s/AU/s,_/_/s/a/w/s/_/,_/_/s/o/u/s/e/_/
blight,1177,2.615555556,0.11758455584726189,bl/aI/t,_/b/l/a/j/t/_/,_/b/l/i/g/h/t/_/
knish,29,0.064444444,0.05,kn/I/S/,_/k/n/I/S/_/_/,_/k/n/i/s/h/_/_/
fate,11943,26.54,0.3033412602603792,f/eI/t,_/_/f/e/j/t/_/,_/_/f/a/t/e/_/_/
sized,360,0.8,0.053775432478688365,s/aI/zd,_/_/s/a/j/z/d/,_/_/s/i/z/e/d/_/
jinn,27,0.06,0.05,/dZ/I/n,_/_/J/I/n/_/_/,_/_/j/i/n/n/_/_/
jink,17,0.037777778,0.05,/dZ/I/N/k,_/_/J/I/G/k/_/,_/_/j/i/n/k/_/_/
jinx,684,1.52,0.08455860794319192,/dZ/I/N/ks,_/_/J/I/G/k/s/,_/_/j/i/n/x/_/_/
masque,206,0.457777778,0.05,m/A/sk,_/_/m/a/s/k/_/,_/_/m/a/s/q/u/e/
hi,22393,49.76222222,0.35928736130136923,h/aI/,_/_/h/a/j/_/_/,_/_/h/i/_/_/_/_/
ha,6355,14.12222222,0.24849656200624015,h/A/,_/_/h/a/_/_/_/,_/_/h/a/_/_/_/_/
he,3323458,7385.462222,0.8149206852358718,h/i/,_/_/h/i/_/_/_/,_/_/h/e/_/_/_/_/
lobed,20,0.044444444000000013,0.05,l/oU/bd,_/_/l/o/b/d/_/,_/_/l/o/b/e/d/_/
twist,14429,32.06444444,0.3200670091681688,tw/I/st,_/t/w/I/s/t/_/,_/t/w/i/s/t/_/_/
clothes,30700,68.22222222,0.38766415360782996,kl/oU/z,_/k/l/o/z/_/_/,_/c/l/o/t/h/e/s/
new,500888,1113.0844439999996,0.6418605052550608,n/u/,_/_/n/u/_/_/_/,_/_/n/e/w/_/_/_/
net,22958,51.01777778,0.36152269880835536,n/E/t,_/_/n/E/t/_/_/,_/_/n/e/t/_/_/_/
hunch,3352,7.448888889,0.19523861069257467,h/@/n/tS/,_/_/h/^/n/C/_/,_/_/h/u/n/c/h/_/
type,81509,181.1311111,0.4761701009980968,t/aI/p,_/_/t/a/j/p/_/,_/_/t/y/p/e/_/_/
tell,408067,906.8155556,0.6231286100805463,t/E/l,_/_/t/E/l/_/_/,_/_/t/e/l/l/_/_/
spec,1233,2.74,0.120680518062934,sp/E/k,_/s/p/E/k/_/_/,_/s/p/e/c/_/_/_/
shire,163,0.362222222,0.05,/S/aI/r,_/_/S/a/j/r/_/,_/s/h/i/r/e/_/_/
luck,16767,37.26,0.33341935904562436,l/@/k,_/_/l/^/k/_/_/,_/_/l/u/c/k/_/_/
dawn,10344,22.98666667,0.2907029809215244,d/O/n,_/_/d/a/n/_/_/,_/_/d/a/w/n/_/_/
jell,130,0.288888889,0.05,/dZ/E/l,_/_/J/E/l/_/_/,_/_/j/e/l/l/_/_/
aisle,6869,15.26444444,0.25515835940723763,/aI/l,_/_/_/a/j/l/_/,_/_/_/a/i/s/l/e/
lout,227,0.504444444,0.05,l/AU/t,_/_/l/a/w/t/_/,_/_/l/o/u/t/_/_/
loud,21106,46.90222222,0.3539819235864385,l/AU/d,_/_/l/a/w/d/_/,_/_/l/o/u/d/_/_/
hoop,2732,6.071111111,0.17895216081149132,h/u/p,_/_/h/u/p/_/_/,_/_/h/o/o/p/_/_/
hoot,1591,3.5355555560000003,0.13832507585190087,h/u/t,_/_/h/u/t/_/_/,_/_/h/o/o/t/_/_/
hook,16543,36.76222222,0.3322212528023789,h/U/k,_/_/h/U/k/_/_/,_/_/h/o/o/k/_/_/
hoof,1908,4.24,0.15153355837263813,h/U/f,_/_/h/U/f/_/_/,_/_/h/o/o/f/_/_/
hood,5388,11.97333333,0.2344742528671655,h/U/d,_/_/h/U/d/_/_/,_/_/h/o/o/d/_/_/
chef,13461,29.91333333,0.3139125257436059,/S/E/f,_/_/S/E/f/_/_/,_/c/h/e/f/_/_/_/
