wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
ounce,2508.0,5.573333333333333,/AU/ns,_/_/_/a/w/n/s/,_/_/_/o/u/n/c/e/
mange,65.0,0.14444444444444443,m/eI/n/dZ/,_/_/m/e/j/n/J/,_/_/m/a/n/g/e/_/
yearn,648.0,1.44,/j/@/rn,_/_/j/^/r/n/_/,_/_/_/y/e/a/r/n/
jig,934.0,2.0755555555555554,/dZ/I/g,_/_/J/I/g/_/_/,_/_/j/i/g/_/_/_/
jib,128.0,0.28444444444444444,/dZ/I/b,_/_/J/I/b/_/_/,_/_/j/i/b/_/_/_/
aft,1452.0,3.2266666666666666,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
plunk,255.0,0.5666666666666667,pl/@/N/k,_/p/l/^/G/k/_/,_/p/l/u/n/k/_/_/
troll,1017.0,2.26,tr/oU/l,_/t/r/o/l/_/_/,_/t/r/o/l/l/_/_/
byte,370.0,0.8222222222222222,b/aI/t,_/_/b/a/j/t/_/,_/_/b/y/t/e/_/_/
one,1300648.0,2890.3288888888887,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
veldt,65.0,0.14444444444444443,f/E/lt,_/_/f/E/l/t/_/,_/_/v/e/l/d/t/_/
shawl,1029.0,2.2866666666666666,/S/O/l,_/_/S/a/l/_/_/,_/s/h/a/w/l/_/_/
snatch,1084.0,2.408888888888889,sn/&/t/S/,_/s/n/@/t/S/_/,_/s/n/a/t/c/h/_/
zoo,4940.0,10.977777777777778,z/u/,_/_/z/u/_/_/_/,_/_/z/o/o/_/_/_/
tike,101.0,0.22444444444444445,t/aI/k,_/_/t/a/j/k/_/,_/_/t/i/k/e/_/_/
pluck,893.0,1.9844444444444445,pl/@/k,_/p/l/^/k/_/_/,_/p/l/u/c/k/_/_/
west,67220.0,149.37777777777777,w/E/st,_/_/w/E/s/t/_/,_/_/w/e/s/t/_/_/
world,337070.0,749.0444444444445,w/@/rld,_/_/w/^/r/l/d/,_/_/w/o/r/l/d/_/
gleam,1164.0,2.5866666666666664,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
glean,420.0,0.9333333333333333,gl/i/n,_/g/l/i/n/_/_/,_/g/l/e/a/n/_/_/
with,3095076.0,6877.946666666667,w/I/D/,_/_/w/I/D/_/_/,_/_/w/i/t/h/_/_/
pull,31189.0,69.30888888888889,p/U/l,_/_/p/U/l/_/_/,_/_/p/u/l/l/_/_/
rush,12692.0,28.204444444444444,r/@/S/,_/_/r/^/S/_/_/,_/_/r/u/s/h/_/_/
tripe,145.0,0.32222222222222224,tr/aI/p,_/t/r/a/j/p/_/,_/t/r/i/p/e/_/_/
ruse,572.0,1.271111111111111,r/u/z,_/_/r/u/z/_/_/,_/_/r/u/s/e/_/_/
